source,url,title,date,institution,doc_type,language
ec,https://digital-strategy.ec.europa.eu/en/news/seven-consortia-selected-establish-ai-factories-which-will-boost-ai-innovation-eu,Seven consortia selected to establish AI factories which will boost AI innovation in the EU,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ai-code-practice,Beginning of the drawing-up process of the Code of Practice for General-Purpose AI,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/over-hundred-companies-sign-eu-ai-pact-pledges-drive-trustworthy-and-safe-ai-development,Companies sign EU AI Pact pledges (Pillar II),2024-01-01,European Commission,Discovered URL,EN
ec,https://ec.europa.eu/commission/presscorner/detail/en/ip_23_6473,Political agreement on the AI Act reached by the co-legislators,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/communication-fostering-european-approach-artificial-intelligence,Communication on Fostering a European approach to AI,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/proposal-regulation-laying-down-harmonised-rules-artificial-intelligence,Proposal for a regulation laying down harmonised rules on AI,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/coordinated-plan-artificial-intelligence-2021-review,Updated coordinated plan on AI,2021-04-21,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/impact-assessment-regulation-artificial-intelligence,Impact assessment of an AI regulation,NA,European Commission,Discovered URL,EN
ec,https://ec.europa.eu/info/files/white-paper-artificial-intelligence-european-approach-excellence-and-trust_en,White paper on AI: a European approach to excellence and trust,2020-02-19,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/communication-building-trust-human-centric-artificial-intelligence,Communication: Building trust in human-centric artificial intelligence,NA,European Commission,Discovered URL,EN
ec,https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=56017,Coordinated plan on AI,NA,European Commission,Discovered URL,EN
ec,https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=56018,Communication: AI made in Europe,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/european-ai-alliance,Launch of the European AI alliance,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/commission-appoints-expert-group-ai-and-launches-european-ai-alliance,Set up of the high-level expert group on AI,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/communication-artificial-intelligence-europe,Communication: Artificial intelligence for Europe,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/eu-member-states-sign-cooperate-artificial-intelligence,Declaration of cooperation on artificial intelligence,NA,European Commission,Discovered URL,EN
